id1,id2,id3,text,f1,f2,f3,f4,f5,f6,f7,f8,label
7596126584852021591,173777575861152844,18254136755182295358,"Хотела купить на замену старых,по итогу эти  ужаснотупые ,не удобные ,рвут кутикулу ,а не режут.",1,1,1.0,11,13,4.2727272727272725,18,36,0
5327406586753254371,14366783259208998381,2324030737335224220,Запах по сравнению с обычным DOVE никакой. Оно не парфюмированное. Только баночки симпатичные и всё,10,6,2.7,46,4,4.434782608695652,90,109,1
2636757786779776109,16985421652518589249,4904562693381133981,"Кабель подошёл, хорошо работает.",4,4,4.0,14,0,4.5,4,6,0
15432976385014516263,2629180387521298831,13541353053200353836,"Восторг! Очень приятный аромат, держится долго, очень удобный формат для сумочки.",6,6,5.0,374,30,4.7727272727272725,14,15,1
11933982800034911890,14531191561111600318,9121890650636487522,Визуально все хорошо. Не пробовали. Купили в подарок,19,18,5.0,6,4,5.0,26,33,0
12956759645916906296,5879642233655188745,545463266737960507,"Коробка в состоянии,, прошла Афган,,! Гладкая кожа носков сапог тоже уже не выглядит новой. Но сапоги вернула совсем не по этим причинам. Дело в том, что всамой модели сапог странное голенище. Дизайнер просчитался, решил вставить в эскиз замок, хотя стоило обойтись резинкой, дающей возможность вместить любую толщину икры женской ножки. Замок топорщит, держит странную форму, что портит вид сапог.",1,1,3.0,8,4,3.5,0,3,0
6841806001863004342,14122795775767509996,12155125135782450682,Джинсы хорошие качество отличное но дороговаты и Малы очень  брал на два размера больше но увы так что возврат,2,2,3.0,173,34,4.22543352601156,1,7,0
8117888394773312960,374482498662209919,3608255627357219465,Хорошее качество,5,4,5.0,30,1,4.6,8,8,1
7302617118628219861,10956664061628703401,8223254633971568382,"Камеры не закрывает, камеры в ровень с чехлом",1,1,1.0,210,90,4.6571428571428575,2,2,0
15596113247608080332,16832509424695734198,4791559431206844550,"Юлия не могли бы Вы проверить стеганку которую я вернула нет ли в карманах ключ от машин, я боюсь что в примерочной я по инерции их положила в карман и вернула позвони если есть по этому номеру 287896096",1,1,5.0,337,90,4.71513353115727,0,1,0
298483443235507048,9161312902389503914,18003133089489520237,"Хорошо упакован, Оригенал 👌🏻спасибо",12,12,5.0,155,68,4.354838709677419,15,19,1
13177061027481511402,6595073485018777246,15123516144979634006,Оыоырыгыоцрцныоцн,2,2,5.0,718,178,4.554317548746518,2,6,1
3838804872705625543,7449919663125419361,147494687329013625,"Отличный рюкзак. Действительно, пахнет новым, приятный запах. Молнии хорошо застегиваются. Качество хорошее. Посмотрим, как в использовании себя проявит. Пришел товар быстро.",1,1,5.0,132,15,4.916666666666667,3,4,0
15052151066971174799,472409409448966793,5470748928248412803,"Доставка-скорость света! Отличная ёмкость, кажется большеватой. НО! под любой стик мыла и пена остаётся внутри и не нужно собирать снаружи. Крышка садится не туго и не болтается. Транспортная упаковка надёжная. Всё без повреждений.",35,34,4.571428571428571,18,1,4.833333333333333,44,50,1
134264158100807590,3989240797250780219,3033520687525129327,"Возврат! Во-первых, задал вопрос продавцу, обратной связи ноль! Во-вторых, кошелек далеко не маленький и не тонкий. Его толщина явно не 1 см.  2 см + и это он еще пустой. В-третьих - самое главное, карты не влазиет в отделения, мм 4-5 не хватает. В целом по качеству кошелек неплохой, но отделения под карты расстроили((",3,3,4.0,6,1,3.1666666666666665,2,4,0
1408533073719041540,5872522275235264187,15784563364140581349,Цена качество соответствует,5,5,4.6,116,13,4.7844827586206895,21,49,0
13877378895135646598,17626731790037521069,8818535877144269085,"Куртка просто ужас💩заказала три разных цветов, и все одинаковые: кривые какие-то, наполнитель распределен неравномерно, у одной вообще кнопки не было. Пришлось ещё и за возврат платить(",1,1,2.0,42,13,4.119047619047619,10,16,0
7239787349776375241,13399392134249501112,5161166887350614275,Товар пришёл с браком! Матрица не исправна!,1,1,1.0,43,7,3.8372093023255816,7,12,0
15111699631263638189,1616883042292906064,8463984859306483856,"Очень была расстроенна таким отвратительно упакованным товаром. Ужасная упаковка вся разорвала, где-то скотчем склеена. Хочется спросить у продовца, вы вообще смотрите что вы за товар  отправляете?Вообщем к покупке не советую.",2,2,3.0,76,34,2.986842105263158,37,145,0
654839140998354741,2226760854896715617,11450005485867524516,"Здравствуйте! Товар получила, покупала подарок детям, нам очень понравилась. Соответствует как в картинки рисунки все аккуратно ни какого брака нет, фиксаторы даже запасом есть все отлично👍👍👍👍 спасибо большое за быструю сборку продавцу💐💐💐. И спасибо производителю💋💋💋",23,22,5.0,449,148,4.494432071269488,37,67,1
16665675694745683209,13339653253629053784,8597950064774351136,"Большемерит очень сильно, но свитшот классный",4,1,1.75,5,1,4.8,17,37,0
4671248781842279855,8627666463190878695,13860844257884860474,"Красивые, мягкие и удобные тряпочки",36,33,4.527777777777778,17,5,5.0,55,99,0
15977033621672153714,14586067526081429195,8355302290057178824,Пришли за два дня,6,4,5.0,21,2,5.0,27,74,0
14932418852539196783,11594206611029735520,5576082564072164535,︎ ︎ ︎ ︎ ︎ ︎,8,7,5.0,96,27,4.520833333333333,12,13,1
8942589570771274688,16065831684866237607,16738165381834614119,В одном комплекте 3ситочки за всё 147платили,3,3,4.666666666666667,36,10,4.722222222222222,5,7,0
17945650534131726010,16724589281329805927,5312918826739540323,"Смывает плохо, щиплет глаза",9,9,4.222222222222222,382,35,4.384816753926701,34,42,0
7274621338731644697,3340034334621716454,13541353053200353836,"Давно мечтала  купить духи Может быть, и осуществила свою мечту.  Спасибо огромное!!!",10,10,5.0,205,23,3.5707317073170732,22,41,0
17671662215758517480,15109957274592244514,5646336594759990081,"Удобная и качественная юбка. На рост 168, ОТ 68, ОБ 98 подошла идеально.",2,2,5.0,2397,601,4.832707551105549,6,7,1
14519382886193521633,14168920912213365568,7502088169769291132,Отличные лоферы за такую цену,20,20,4.6,7,0,4.571428571428571,46,66,0
9927515246960419915,18441960107024938048,13859002297641788320,"Валенки прикольные, интересные. Но пришлось вернуть, т.к. на мой 40-ой размер 41-ый оказался мал, тесновато было ноге.",8,8,4.5,196,46,4.801020408163265,36,134,0
10673191825873358004,13019040374299001,9216117431501580578,"пришла книга быстро,хорошо запакована",3,3,5.0,396,87,4.83080808080808,12,13,0
7719590763533910000,15247858540250449162,9486012649228196529,"Кофточка очень даже любо, но увы я со своим ростом 160 в ней просто утонула(((  почти до колен, а хотелось бы слегка прикрывающую попу.",2,2,5.0,106,42,4.726415094339623,2,12,0
6835816905320373791,7691925409402919851,15231575427297017388,"Пришла ручка на 4гб, отказ",1,1,1.0,3,2,2.6666666666666665,8,155,1
18044193978845267641,5011543773252845561,12494923917986614809,"Шпарит как на газу, очень мощная. Ставлю вышку!",1,1,5.0,35,6,4.628571428571429,1,1,0
