f1,f2,f3,f4,f5,f6,f7,f8,label,div_f1_f2,div_f1_f3,div_f1_f4,div_f1_f6,div_f1_f8,div_f2_f3,div_f2_f4,div_f2_f6,div_f2_f8,div_f3_f4,div_f3_f6,div_f3_f8,div_f4_f6,div_f4_f8,div_f5_f6,div_f5_f8,div_f6_f8,div_f7_f8,num_points,num_big_letters,avg_word_len,num_words,avg_big_letters,avg_points
15,15,4.733333333333333,45,13,4.466666666666667,99,157,0,1.0,3.169014084507042,0.3333333333333333,3.3582089552238803,0.09554140127388536,3.169014084507042,0.3333333333333333,3.3582089552238803,0.09554140127388536,0.10518518518518519,1.0597014925373134,0.030148619957537155,10.074626865671641,0.28662420382165604,2.9104477611940296,0.08280254777070063,0.028450106157112527,0.6305732484076433,6,5,5.826086956521739,23,0.21739130434782608,0.2608695652173913
1,1,5.0,54,34,4.203703703703703,22,23,1,1.0,0.2,0.018518518518518517,0.2378854625550661,0.043478260869565216,0.2,0.018518518518518517,0.2378854625550661,0.043478260869565216,0.09259259259259259,1.1894273127753305,0.21739130434782608,12.84581497797357,2.347826086956522,8.088105726872248,1.4782608695652173,0.1827697262479871,0.9565217391304348,10,5,5.342105263157895,38,0.13157894736842105,0.2631578947368421
10,10,4.9,224,43,4.383928571428571,29,30,0,1.0,2.0408163265306123,0.044642857142857144,2.2810590631364565,0.3333333333333333,2.0408163265306123,0.044642857142857144,2.2810590631364565,0.3333333333333333,0.021875000000000002,1.1177189409368637,0.16333333333333336,51.09572301425662,7.466666666666667,9.808553971486763,1.4333333333333333,0.14613095238095236,0.9666666666666667,2,2,6.75,4,0.5,0.5
3,2,5.0,87,14,4.977011494252873,3,4,1,1.5,0.6,0.034482758620689655,0.6027713625866051,0.75,0.4,0.022988505747126436,0.4018475750577367,0.5,0.05747126436781609,1.0046189376443417,1.25,17.48036951501155,21.75,2.812933025404157,3.5,1.2442528735632183,0.75,1,1,8.0,2,0.5,0.5
22,22,4.863636363636363,64,37,2.5625,129,193,1,1.0,4.5233644859813085,0.34375,8.585365853658537,0.11398963730569948,4.5233644859813085,0.34375,8.585365853658537,0.11398963730569948,0.07599431818181818,1.8980044345898004,0.025200188412623645,24.975609756097562,0.3316062176165803,14.439024390243903,0.19170984455958548,0.01327720207253886,0.6683937823834197,2,1,5.2,5,0.2,0.4
12,12,3.0,40,16,4.45,53,218,0,1.0,4.0,0.3,2.696629213483146,0.05504587155963303,4.0,0.3,2.696629213483146,0.05504587155963303,0.075,0.6741573033707865,0.013761467889908258,8.988764044943819,0.1834862385321101,3.595505617977528,0.07339449541284404,0.02041284403669725,0.24311926605504589,0,1,5.142857142857143,7,0.14285714285714285,0.0
3,3,3.6666666666666665,1407,343,4.015636105188344,3,9,0,1.0,0.8181818181818182,0.0021321961620469083,0.7470796460176992,0.3333333333333333,0.8181818181818182,0.0021321961620469083,0.7470796460176992,0.3333333333333333,0.002606017531390666,0.9130973451327433,0.4074074074074074,350.3803539823009,156.33333333333334,85.41610619469027,38.111111111111114,0.44618178946537157,0.3333333333333333,3,2,5.9,10,0.2,0.3
9,7,4.555555555555555,77,24,4.740259740259741,80,155,0,1.2857142857142858,1.975609756097561,0.11688311688311688,1.8986301369863012,0.05806451612903226,1.5365853658536586,0.09090909090909091,1.476712328767123,0.04516129032258064,0.05916305916305916,0.96103500761035,0.02939068100358423,16.243835616438353,0.4967741935483871,5.063013698630137,0.15483870967741936,0.030582320904901553,0.5161290322580645,1,1,8.0,3,0.3333333333333333,0.3333333333333333
5,2,5.0,100,18,5.0,4,4,1,2.5,1.0,0.05,1.0,1.25,0.4,0.02,0.4,0.5,0.05,1.0,1.25,20.0,25.0,3.6,4.5,1.25,1.0,1,1,6.0,2,0.5,0.5
5,5,5.0,1340,398,4.701492537313433,7,7,1,1.0,1.0,0.0037313432835820895,1.0634920634920635,0.7142857142857143,1.0,0.0037313432835820895,1.0634920634920635,0.7142857142857143,0.0037313432835820895,1.0634920634920635,0.7142857142857143,285.015873015873,191.42857142857142,84.65396825396826,56.857142857142854,0.6716417910447762,1.0,0,1,6.0,2,0.5,0.0
